,Datos,Datos Ch2,Tiempo,Tiempo Ch2,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia
0,-0.0125,-0.0125,0.004,0.0,2.5,50.0,0.0,50.0
1,-0.012490000000000001,-0.012490000000000001,0.0,0.004,,,,
2,-0.012480000000000002,-0.012480000000000002,0.004,0.004,,,,
3,-0.01247,-0.01247,-0.008,0.008,,,,
4,-0.01246,-0.01246,0.002,0.0,,,,
5,-0.012450000000000001,-0.012450000000000001,-0.002,0.004,,,,
6,-0.012440000000000001,-0.012440000000000001,0.002,0.008,,,,
7,-0.01243,-0.01243,0.0,0.0,,,,
8,-0.01242,-0.01242,0.004,-0.008,,,,
9,-0.012410000000000001,-0.012410000000000001,0.002,0.0,,,,
10,-0.012400000000000001,-0.012400000000000001,0.006,0.0,,,,
11,-0.01239,-0.01239,0.004,-0.004,,,,
12,-0.01238,-0.01238,0.002,0.008,,,,
13,-0.01237,-0.01237,-0.002,0.008,,,,
14,-0.012360000000000001,-0.012360000000000001,0.0,0.004,,,,
15,-0.01235,-0.01235,-0.002,0.0,,,,
16,-0.01234,-0.01234,0.038,0.004,,,,
17,-0.01233,-0.01233,0.0,0.008,,,,
18,-0.012320000000000001,-0.012320000000000001,0.004,0.008,,,,
19,-0.012310000000000001,-0.012310000000000001,0.004,0.008,,,,
20,-0.0123,-0.0123,0.0,0.0,,,,
21,-0.01229,-0.01229,0.004,0.0,,,,
22,-0.012280000000000001,-0.012280000000000001,0.0,0.004,,,,
23,-0.012270000000000001,-0.012270000000000001,-0.01,0.004,,,,
24,-0.01226,-0.01226,0.004,0.008,,,,
25,-0.01225,-0.01225,0.006,0.0,,,,
26,-0.012240000000000001,-0.012240000000000001,0.004,-0.008,,,,
27,-0.012230000000000001,-0.012230000000000001,0.0,-0.004,,,,
28,-0.01222,-0.01222,0.002,0.0,,,,
29,-0.01221,-0.01221,0.0,0.0,,,,
30,-0.0122,-0.0122,0.006,0.0,,,,
31,-0.012190000000000001,-0.012190000000000001,0.016,0.0,,,,
32,-0.01218,-0.01218,0.0,0.008,,,,
33,-0.01217,-0.01217,0.0,-0.004,,,,
34,-0.01216,-0.01216,0.004,0.0,,,,
35,-0.012150000000000001,-0.012150000000000001,0.0,0.0,,,,
36,-0.012140000000000001,-0.012140000000000001,-0.006,0.004,,,,
37,-0.01213,-0.01213,0.002,0.004,,,,
38,-0.01212,-0.01212,0.0,0.0,,,,
39,-0.012110000000000001,-0.012110000000000001,0.008,0.004,,,,
40,-0.012100000000000001,-0.012100000000000001,-0.002,0.004,,,,
